a	/ɑ/
bigoudi	/bigudiː/
bigoudien	/bigudiːən/
biichten	/biːɕtən/
gebiicht	/gəbiːɕt/
biirtreng	/biːʀtʀæŋ/
biischt	/biːʃt/
biischten	/biːʃtən/
biischtchen	/biːʃtɕən/
biischtercher	/biːʃtɐɕɐ/
gebiischt	/gəbiːʃt/
biischtestill	/biːʃtəʃtil/
biischtestiller	/biːʃtəʃtilɐ/
biissen	/biːsən/
biitchen	/biːtɕən/
bitercher	/bitɐɕɐ/
bijou	/biʒuː/
bijouen	/biʒuːən/
bijouterie	/biʒutəʀiː/
bijouterien	/biʒutəʀiːən/
bijoutier	/biʒutjeː/
bijoutieren	/biʒutjeːən/
bijoutière	/biʒutjɛːʀ/
bijoutièren	/biʒutjɛːʀən/
bikini	/bikini/
bikinien	/bikinjən/
bilan	/bilaːn/
bilanen	/bilaːnən/
bilanz	/bilɑnts/
bilanzen	/bilɑntsən/
bilateral	/bilateʀaːl/
bild	/bilt/
biller	/bilɐ/
bildchen	/biltɕən/
billercher	/bilɐɕɐ/
bilden	/bildən/
gebilt	/gəbilt/
bildschierm	/biltʃiːɐm/
bildschiermer	/biltʃiːɐmɐ/
bildung	/bilduŋ/
bill	/bil/
billard	/bilaːʀ/
billarden	/bilaːʀən/
billardsdësch	/bilaːʀsdəʃ/
billardsdëscher	/bilaːʀsdəʃɐ/
billen	/bilən/
gebillt	/gəbilt/
billerbuch	/bilɐbuχ/
billerbicher	/bilɐbiɕɐ/
billersammlung	/bilɐzɑmluŋ/
billersammlungen	/bilɐzɑmluŋən/
billjee	/biljeː/
billjeeën	/biljeːən/
bilschdref	/bilʃdʀəf/
bimmelen	/bimələn/
gebimmelt	/gəbiməlt/
bindestréch	/bindæstʀəɕ/
bindestrécher	/bindæstʀəɕɐ/
binett	/binæt/
binetten	/binætən/
binette	/binæt/
bing	/biŋ/
bingen	/biŋən/
binnchen	/binɕən/
binnercher	/binɐɕɐ/
binnert	/binɐt/
binnerten	/binɐtən/
bio	/bioː/
biobuttek	/bioːbutek/
biobutteker	/bioːbutekɐ/
biochemesch	/bioʃeːməʃ/
biogeméis	/bioːgəmɜɪs/
biografesch	/bioːgʀaːfəʃ/
biografie	/bioːgʀaːfiː/
biografien	/bioːgʀaːfiːən/
biographesch	/bioːgʀaːfəʃ/
biographie	/bioːgʀaːfiː/
biographien	/bioːgʀaːfiːən/
biologesch	/bioloːʁəʃ/
biologie	/bioːloːʒiː/
biologiescours	/bioːloːʒiːəskuːɐ/
biologiescoursen	/bioːloːʒiːəskuːəʀən/
biotop	/bioːtop/
biotopen	/biotoːpən/
biouebst	/bioːuəbst/
bir	/biːɐ/
biren	/biːʀən/
bis	/bis/
biscuit	/biskyit/
biscuiten	/biskyitən/
bistro	/bistʀoː/
bistroen	/bistʀoːən/
bistrosdësch	/bistʀoːsdəʃ/
bistrosdëscher	/bistʀoːsdəʃɐ/
bistum	/bistum/
bistumen	/bistymən/
bitscht	/bitʃt/
bitzcours	/bitskuːɐ/
bitzcoursen	/bitskuːəʀən/
bitzen	/bitsən/
gebitzt	/gəbitst/
bitzmaschinn	/bitsmɑʃin/
bitzmaschinnen	/bitsmɑʃinən/
bitznol	/bitsnoːl/
bitznolen	/bitsnoːlən/
biwer	/bivɐ/
biwerbaach	/bivɐbaːχ/
biwwels	/bivəls/
biwwesch	/bivəʃ/
biz	/biːts/
bizen	/biːtsən/
blaaschent	/blaːʃənt/
bläi	/blæːɪ/
bläien	/blæːɪən/
bläifräi	/blæːɪfʀæːɪ/
bläistëft	/blæːɪʃtəft/
bläistëfter	/blæːɪʃtəftɐ/
blamage	/blɑmaːʃ/
blamagen	/blɑmaːʒən/
blaméieren	/blɑmɜɪəʀən/
blaméiert	/blɑmɜɪɐt/
blani	/blɑniː/
blanien	/blɑnjən/
blann	/blɑn/
blannemännches	/blɑnemænɕəs/
blannemännerches	/blɑnemænɐɕəs/
blanquette	/blɑkæt/
blanquetten	/blɑkætən/
blären	/blɛːʀən/
gebläert	/gəblɛːɐt/
blaséiert	/blɑzɜɪɐt/
blass	/blɑs/
blat	/blaːt/
blatz	/blɑts/
blatzeg	/blɑtsəɕ/
blazer	/blaːtsɐ/
blazeren	/blaːtsəʀən/
blech	/blæɕ/
blecher	/blæɕɐ/
blechen	/blæɕən/
geblecht	/gəblæɕt/
blechschléier	/blæɕʃlɜɪɐ/
blechschléiesch	/blæɕʃlɜɪəʃ/
blechschléieschen	/blæɕʃlɜɪəʃən/
bléck	/blek/
blécker	/blekɐ/
bleech	/bleːɕ/
bleechen	/bleːɕən/
gebleecht	/gəbleːɕt/
bléi	/blɜɪ/
bléien	/blɜɪən/
gebléit	/gəblɜɪt/
bléisst	/blɜɪst/
bleiwen	/blɑɪvən/
bliwwen	/blivən/
blend	/blænt/
blenden	/blændən/
geblent	/gəblænt/
blénkeg	/bleŋkəɕ/
blénken	/bleŋkən/
geblénkt	/gəbleŋkt/
blennen	/blænən/
geblennt	/gəblænt/
blënzelen	/bləntsələn/
geblënzelt	/gəbləntsælt/
bless	/blæs/
blessen	/blæsən/
blesséieren	/blæsɜɪəʀən/
blesséiert	/blæsɜɪɐt/
blessur	/blæsuːʀ/
blessuren	/blæsyʀən/
blëtz	/bləts/
blëtzer	/blətsɐ/
blëtzen	/blətsən/
geblëtzt	/gəblətst/
bliederdeeg	/bliədɐdeːɕ/
bliederen	/bliədəʀən/
gebliedert	/gəbliədɐt/
blietchen	/bliətɕən/
bliedercher	/bliədɐɕɐ/
blimmchen	/blimɕən/
blimmercher	/blimɐɕɐ/
blimmelen	/blimələn/
geblimmelt	/gəbliməlt/
blinddarm	/blintdaːʀm/
blinddäerm	/blintdɛːɐm/
blinddarmentzündung	/blintdaːʀmænttsynduŋ/
blinddarmentzündungen	/blintdaːʀmænttsynduŋən/
blinddarmoperatioun	/blintdaːʀmoːpəʀatsjəʊn/
blinddarmoperatiounen	/blintdaːʀmoːpəʀatsjəʊnən/
blo	/bloː/
block	/blok/
blocken	/blokən/
blockéieren	/blokɜɪəʀən/
blockéiert	/blokɜɪɐt/
blockflütt	/blokflyt/
blockflütten	/blokflytən/
blöd	/bløːt/
bloder	/bloːdɐ/
bloderen	/bloːdəʀən/
blödian	/bløːdiaːn/
blödianen	/bløːdiaːnən/
blödsinn	/bløːtzin/
blomaachen	/bloːmaːχən/
blogemaach	/bloːgəmaːχ/
blond	/blont/
blos	/bloːs/
blosen	/bloːzən/
geblosen	/gəbloːzən/
blosenentzündung	/bloːzənænttsynduŋ/
blosenentzündungen	/bloːzənænttsynduŋən/
blouse	/bluːs/
blousen	/bluzən/
blouson	/bluːsɑ̃ː/
blousonen	/bluːsɑ̃ːən/
blouss	/blus/
bloussstellen	/bluːssʃtælən/
bloussgestallt	/bləʊsgəʃtɑlt/
bluddeg	/bludəɕ/
bludden	/bludən/
geblutt	/gəblut/
bluddung	/bluduŋ/
bluddungen	/bluduŋən/
bluff	/bluf/
bluffen	/blufən/
geblufft	/gəbluft/
blumm	/blum/
blummen	/blumən/
blummebuttek	/bluməbutek/
blummebutteker	/bluməbutekɐ/
blummemotiv	/bluməmotiːf/
blummemotiven	/bluməmotiːvən/
blummemuster	/bluməmustɐ/
blummemusteren	/bluməmustəʀən/
blummendall	/bluməndɑl/
blummendëppen	/bluməndəpən/
blummennumm	/blumənnum/
blummennimm	/blumənnim/
blummenzort	/bluməntsɔʀt/
blummenzorten	/bluməntsɔʀtən/
blummestack	/bluməʃtɑk/
blummestäck	/bluməʃtæk/
blus	/bluːs/
blusen	/bluːsən/
blutt	/blut/
bluttaarmut	/bludaːɐmu/
bluttanalys	/blutɑnaːliːs/
bluttanalysen	/blutɑnaːliːzən/
bluttanalyse	/blutɑnaːliːzə/
bluttdrock	/blutdʀok/
bluttjonk	/bludjoŋk/
bluttkreeslaf	/bludkʀeːslaːf/
bluttrout	/blutʀəʊt/
bluttwäert	/blutvɛːɐt/
bluttwäerter	/blutvɛːɐtɐ/
bobbo	/boboː/
bobboen	/boboːən/
bobine	/bobin/
bobinnen	/bobinən/
bobinn	/bobin/
bobo	/boboː/
boboen	/boboːən/
bock	/bok/
béck	/bek/
bockeg	/bokəɕ/
bockel	/bokəl/
bockelen	/bokələn/
boer	/boːɐ/
boermereng	/boːɐməʀæŋ/
boiler	/bwɑlɐ/
boileren	/bwɑləʀən/
boîte	/bwɑt/
boîtten	/bwɑtən/
bok	/bok/
boken	/bokən/
bokal	/bokaːl/
bokaler	/bokaːlɐ/
bolivianer	/boliviaːnɐ/
bolivianerin	/boliviaːnəʀin/
bolivianerinnen	/boliviaːnəʀinən/
bolivianesch	/boliviaːnəʃ/
bolivien	/boliːfiːən/
boll	/bol/
bollen	/bolən/
bollenduerf	/bolənduːɐf/
bollenduerferbréck	/bolənduəfɐbʀek/
bolognesezooss	/boloːgneːzətsoːs/
bolognesezosen	/boloːgneːzətsoːzən/
bols	/bols/
bom	/boːm/
bomen	/boːmən/
boma	/boːmaː/
bomaen	/boːmaːən/
bombardéieren	/boːmbɑʀdɜɪəʀən/
bombardéiert	/boːmbɑʀdɜɪɐt/
bombardement	/boːmbɑʀdəmænt/
bombardementer	/boːmbɑʀdəmæntɐ/
bombéiert	/boːmbɜɪɐt/
bomi	/boːmi/
bomien	/boːmiːən/
bomm	/bom/
bommen	/bomən/
bommel	/boməl/
bommelen	/bomələn/
bommeler	/boməlɐ/
bommenalarm	/bomənɑlaːʀm/
bommesplitter	/boməʃplitɐ/
bonbonnière	/bɑ̃ːbonjɛːʀ/
bonbonnièren	/bɑ̃ːbonjɛːʀən/
bond	/bont/
bonten	/bɑ̃ːən/
bong	/boŋ/
bongen	/boŋən/
bongert	/boŋɐt/
bongerten	/boŋɐtən/
bongo	/bɑ̃ːgoː/
bongoen	/bɑ̃ːgoːən/
boni	/boːni/
bonien	/boːniən/
bonjour	/bɑ̃ːʒuːɐ/
bonjouren	/bɑ̃ːʒuːʀən/
bont	/bɑ̃ː/
bonus	/boːnus/
bonussen	/boːnusən/
boomchen	/boːmɕən/
bomercher	/boːmɐɕɐ/
boopchen	/boːpɕən/
bopercher	/boːpɐɕɐ/
boot	/boːt/
booter	/boːtɐ/
bootsch	/boːtʃ/
bootschen	/boːtʃən/
gebootscht	/gəboːtʃt/
bop	/bop/
bopen	/boːpən/
bopa	/boːpaː/
bopaen	/bopaːən/
bopi	/bopi/
bopien	/bopiːən/
bord	/bɔːʀ/
borden	/bɔʀdən/
bordell	/bɔʀdæl/
bordellen	/bɔʀdælən/
bordür	/bɔʀdyːʀ/
bordüren	/bɔʀdyːʀən/
bordure	/bɔʀdyːʀ/
borduren	/bɔʀdyːʀən/
bornéiert	/bɔʀnɜɪɐt/
borscht	/bɔʀʃt/
borschten	/bɔʀʃtən/
bosnesch	/bosnəʃ/
bosnien	/bosnjən/
herzegowina	/hɛːɐtsəgoːvinaː/
bosnier	/bosnjeː/
bosnierin	/bosniəʀin/
bosnierinnen	/bosniəʀinən/
bosseg	/bosəɕ/
botanesch	/botaːnəʃ/
botanik	/botaːnik/
botaniker	/botaːnikɐ/
botanikerin	/botaːnikəʀin/
botanikerinnen	/botaːnikəʀinən/
botswana	/botsvɑnaː/
botswaner	/botsvaːnɐ/
botswanerin	/botsvaːnəʀin/
botswanerinnen	/botsvaːnəʀinən/
botswanesch	/botsvaːnəʃ/
bott	/bot/
botten	/botən/
botte	/bot/
botter	/botɐ/
bottercrème	/botɐkʀɛːm/
bottercrèmen	/botɐkʀɛːmən/
bottercrèmeskuch	/botɐkʀɛːmæskuχ/
bottercrèmeskuchen	/botɐkʀɛːmæskuχən/
botteren	/botəʀən/
gebottert	/gəbotɐt/
botterfaass	/botɐfaːs/
botterfässer	/botɐfæsɐ/
botterschmalz	/botɐʃmɑlts/
botz	/bots/
botzaktioun	/botsɑksjəʊn/
botzaktiounen	/botsɑksjəʊnən/
botzen	/botsən/
gebotzt	/gəbotst/
botzerei	/botsəʀɑɪ/
botzereien	/botsəʀɑɪən/
botzfirma	/botsfiʀmaː/
botzfirmaen	/botsfiʀmaːən/
botzfra	/botsfʀaː/
botzfraen	/botsfʀaːən/
botzmëttel	/botsmətəl/
bou	/bəʊ/
béi	/bɜɪ/
bouchée	/buʃeː/
bouchéeën	/buʃeːən/
bouf	/bəʊf/
bouwen	/bəʊvən/
boufer	/bəʊfɐ/
bouferdeng	/bəʊfɐdeŋ/
bougéieren	/buʒɜɪəʀən/
bougéiert	/buʒɜɪɐt/
bougie	/buʒiː/
bougien	/buʒiːən/
bouillon	/bujɑ̃ː/
bouillonen	/bujɑ̃ːən/
boukels	/bəʊkəls/
boule	/bul/
boulette	/bulæt/
bouletten	/bulætən/
boulevard	/buləvaːʀ/
boulevarden	/buləvaːʀən/
boun	/bəʊn/
bounen	/bəʊnən/
bounekraitchen	/bəʊnəkʀɛːtɕən/
bounekraidercher	/bəʊnəkʀɛːdɐɕɐ/
bouneschlupp	/bəʊnəʃlup/
bouneschluppen	/bəʊnəʃlupən/
bounestréi	/bəʊnəʃtʀɜɪ/
bouneweg	/bəʊnəvəɕ/
bouquet	/bukeː/
bouqueten	/bukeːən/
bourse	/buʀs/
bourssen	/buʀsən/
bous	/bəʊs/
bouschéissen	/bəʊʃɜɪsən/
bouschéisser	/bəʊʃɜɪsɐ/
bouschéisserin	/bəʊʃɜɪsəʀin/
bouschéisserinnen	/bəʊʃɜɪsəʀinən/
bouss	/bəʊs/
boussen	/bəʊsən/
boutique	/butik/
boutiquen	/butikən/
box	/boks/
boxen	/boksən/
boxebeen	/boksəbeːn/
boxecostume	/boksəkostym/
boxecostumer	/boksəkostymɐ/
boxekostüm	/boksəkostym/
boxekostümer	/boksəkostymɐ/
boxekueder	/boksəkuədɐ/
boxekuederen	/boksəkuədəʀən/
boxemännchen	/boksəmænɕən/
boxemännercher	/boksəmænɐɕɐ/
geboxt	/gəbokst/
boxentäsch	/boksəntæʃ/
boxentäschen	/boksəntæʃən/
boxer	/boksɐ/
boxerin	/boksəʀin/
boxerinnen	/boksəʀinən/
boxeschësser	/boksəʃəsɐ/
boxeschëssesch	/boksəʃəsəʃ/
boxeschësseschen	/boksəʃəsəʃən/
boykott	/boɪkot/
boykotten	/boɪkotən/
boykottéieren	/boɪkotɜɪəʀən/
boykottéiert	/boɪkotɜɪɐt/
braatsch	/bʀaːtʃ/
braatschen	/bʀaːtʃən/
bracelet	/bʀɑsæleː/
braceleten	/bʀɑsæleːən/
brach	/bʀɑχ/
braconnéieren	/bʀɑkɑ̃ːnɜɪəʀən/
braconnéiert	/bʀɑkonɜɪɐt/
braconnier	/bʀɑkɑ̃ːnjeː/
braconnieren	/bʀɑkɑ̃ːniːɐʀən/
braddelen	/bʀɑdələn/
gebraddelt	/gəbʀɑdəlt/
braddeler	/bʀɑdəlɐ/
braddelesch	/bʀɑdələʃ/
braddeleschen	/bʀɑdələʃən/
bradéieren	/bʀɑdɜɪəʀən/
bradéiert	/bʀɑdɜɪɐt/
braderie	/bʀɑdeʀiː/
braderien	/bʀɑdeʀiːən/
bräi	/bʀæːɪ/
bräitchemann	/bʀæːɪtɕemɑn/
bräitchemänner	/bʀæːɪtɕemænɐ/
brak	/bʀaːk/
braken	/bʀaːkən/
branche	/bʀɑnɕə/
branchen	/bʀɑnɕən/
brand	/bʀɑnt/
bränn	/bʀæn/
brandwonn	/bʀɑntvon/
brandwonnen	/bʀɑntvonən/
branebuerg	/bʀaːnəbuːɐɕ/
branntewäin	/bʀɑntəvæːɪn/
branntewäiner	/bʀɑntəvæːɪnɐ/
branntewäinsfläsch	/bʀɑntəvæːɪnsflæʃ/
branntewäinsfläschen	/bʀɑntəvæːɪnsflæʃən/
brasilianer	/bʀaːsiljaːnɐ/
brasilianerin	/bʀaːsiljaːnəʀin/
brasilianerinnen	/bʀaːsiljaːnəʀinən/
brasilianesch	/bʀaːsiljɑnəʃ/
brasilien	/bʀɑziːljən/
bratsch	/bʀɑtʃ/
bratschen	/bʀɑtʃən/
gebratscht	/gəbʀɑtʃt/
brattert	/bʀɑtɐt/
bratzel	/bʀɑtsəl/
bratzelen	/bʀɑtsəlen/
bratzelsonndeg	/bʀɑtsəlzondəɕ/
bratzelsonndeger	/bʀɑtsəlzondəʑɐ/
bratzelssonndeg	/bʀɑtsəlszondəɕ/
bratzelssonndeger	/bʀɑtsəlszondəʑɐ/
brauch	/bʀæːʊχ/
bräich	/bʀæːɪɕ/
brauchen	/bʀæːʊχən/
gebraucht	/gəbʀæːʊχt/
brauen	/bʀɑʊən/
gebraut	/gəbʀæːʊt/
brauerei	/bʀɑʊəʀɑɪ/
brauereien	/bʀɑʊəʀɑɪən/
brauereispäerd	/bʀɑʊəʀɑɪspɛːɐt/
braumeeschter	/bʀæːʊmeːʃtɐ/
braumeeschteren	/bʀæːʊmeːʃtəʀən/
braumeeschterin	/bʀæːʊmeːʃtəʀin/
braumeeschterinnen	/bʀæːʊmeːʃtəʀinən/
braumeeschtesch	/bʀæːʊmeːʃtəʃ/
braumeeschteschen	/bʀæːʊmeːʃtəʃən/
braut	/bʀæːʊt/
bräit	/bʀæːɪt/
brautbouquet	/bʀæːʊtbukeː/
brautbouqueten	/bʀæːʊtbukeːən/
brautbucki	/bʀæːʊtbukiː/
brautbuckien	/bʀæːʊtbukiən/
brautkleed	/bʀæːʊtkleːt/
brautkleeder	/bʀæːʊtkleːdɐ/
brautleit	/bʀæːʊtlɑɪt/
brautpuer	/bʀæːʊtpuːɐ/
brautpueren	/bʀæːʊtpuːɐʀən/
brautrank	/bʀæːʊtʀɑŋk/
brautréng	/bʀæːʊtʀeŋ/
brautrénk	/bʀæːʊtʀeŋk/
brav	/bʀaːf/
bréck	/bʀek/
brécken	/bʀekən/
bréckelchen	/bʀekəlɕən/
bréckelcher	/bʀekəlɕɐ/
bréckelen	/bʀekələn/
gebréckelt	/gəbʀekəlt/
breedelt	/bʀeːdəlt/
breet	/bʀeːt/
breeten	/bʀeːtən/
breetmaachen	/bʀeːtmaːχən/
breetgemaach	/bʀeːtgəmaːχ/
bréien	/bʀɜɪən/
gebréit	/gəbʀɜɪt/
bréif	/bʀɜɪf/
bréiwer	/bʀɜɪvɐ/
bréifboîte	/bʀɜɪfbwɑt/
bréifboîtten	/bʀɜɪfbwɑtən/
bréifchen	/bʀɜɪfɕən/
bréiwercher	/bʀɜɪvɐɕɐ/
bréifdréier	/bʀɜɪfdʀɜɪɐ/
bréifdréiesch	/bʀɜɪfdʀɜɪəʃ/
bréifdréieschen	/bʀɜɪfdʀɜɪəʃən/
bréifkëscht	/bʀɜɪfkəʃt/
bréifkëschten	/bʀɜɪfkəʃtən/
bréifwahl	/bʀɜɪfvaːl/
bréifwahlen	/bʀɜɪfvaːlən/
bréifwal	/bʀɜɪfvaːl/
bréifwalen	/bʀɜɪfvaːlən/
breinert	/bʀɑɪnɐt/
bréissel	/bʀɜɪsəl/
bréitchen	/bʀɜɪtɕən/
bréidercher	/bʀɜɪdɐɕɐ/
brëll	/bʀəl/
brëller	/bʀəlɐ/
brëllegestell	/bʀələgəʃtæl/
brëllegesteller	/bʀələgəʃtælɐ/
brëlleglas	/bʀələglaːs/
brëlleglieser	/bʀələgliəzɐ/
brëllen	/bʀələn/
gebrëllt	/gəbʀəlt/
brems	/bʀæms/
bremsen	/bʀæmzən/
gebremst	/gəbʀæmst/
bremsleeschtung	/bʀæmsleːʃtuŋ/
bremsscheif	/bʀæmsʃɑɪf/
bremsscheiwen	/bʀæmsʃɑɪvən/
bremsspur	/bʀæmsʃpuːʀ/
bremsspuren	/bʀæmsʃpuːʀən/
bremssystem	/bʀæmssiːstəm/
bremssystemer	/bʀæmssiːstəmɐ/
bremswee	/bʀæmsveː/
bremsweeër	/bʀæmsveːɐ/
bréngen	/bʀeŋən/
bruecht	/bʀuəɕt/
brenndessel	/bʀændəsəl/
brenndesselen	/bʀændəsələn/
brennen	/bʀænən/
gebrannt	/gəbʀɑnt/
brenner	/bʀænɐ/
brennerei	/bʀænəʀɑɪ/
brennereien	/bʀænəʀɑɪən/
brennes	/bʀænəs/
brennholz	/bʀænholts/
brennmaterial	/bʀænmɑteʀjaːl/
brennmaterialer	/bʀænmɑteʀjaːlɐ/
brennnessel	/bʀænnəsəl/
brennnesselen	/bʀænnəsələn/
brennstoff	/bʀænʃtof/
brennstoffer	/bʀænʃtofɐ/
brenzeleg	/bʀæntsələɕ/
brëtell	/bʀətæl/
brëtellen	/bʀətælən/
brëtsch	/bʀətʃ/
brëtschen	/bʀətʃən/
bretz	/bʀæts/
bretzen	/bʀætsən/
bretzaasch	/bʀætsaːʃ/
bretzeesch	/bʀætseːʃ/
bretzel	/bʀætsəl/
bretzelen	/bʀætsələn/
bretzelsonndeg	/bʀætsəlzondəɕ/
bretzelsonndeger	/bʀætsəlzondəʑɐ/
bretzelssonndeg	/bʀætsəlszondəɕ/
bretzelssonndeger	/bʀætsəlszondəʑɐ/
gebretzt	/gəbʀætst/
bretzert	/bʀætsɐt/
bretzerten	/bʀætsɐtən/
brevet	/bʀəvæ/
breveten	/bʀəvæən/
bricherhaff	/bʀiɕɐhɑf/
brickett	/bʀikæt/
bricketten	/bʀikætən/
bricki	/bʀikiː/
brickien	/bʀikiən/
briddel	/bʀidəl/
bridderchen	/bʀidɐɕən/
briddercher	/bʀidɐɕɐ/
bridderlech	/bʀidɐləɕ/
briecheisen	/bʀiəɕɑɪzən/
briechen	/bʀiəɕən/
gebrach	/gəbʀɑχ/
briet	/bʀiət/
brieder	/bʀiədɐ/
brietchen	/bʀiətɕən/
briedercher	/bʀiədɐɕɐ/
brigang	/bʀigɑŋ/
brigangen	/bʀigɑŋən/
brillant	/bʀjɑ̃ː/
brillanten	/bʀilɑ̃ːən/
brioche	/bʀioχə/
briochen	/bʀioχən/
briosch	/bʀioʃ/
brioschen	/bʀioʃən/
briquet	/bʀikeː/
briqueten	/bʀikeːən/
britt	/bʀit/
britten	/bʀitən/
brittzopp	/bʀittsop/
brittzoppen	/bʀittsopən/
broch	/bʀoχ/
bréch	/bʀəɕ/
brochbud	/bʀoχbuːt/
brochbuden	/bʀoχbuːdən/
brochdeel	/bʀoχdeːl/
brochdeeler	/bʀoχdeːlɐ/
broche	/bʀoʃ/
brochen	/bʀoχən/
brochette	/bʀoʃæt/
brochetten	/bʀoʃætən/
brochure	/bʀoχyːʀ/
brochuren	/bʀoχuːʀən/
brockelchen	/bʀokəlɕən/
brockelcher	/bʀokəlɕɐ/
brodéieren	/bʀodɜɪəʀən/
brodéiert	/bʀodɜɪɐt/
broden	/bʀoːdən/
gebroden	/gəbʀoːdən/
broderie	/bʀoːdəʀiː/
broderien	/bʀoːdəʀiːən/
brokkoli	/bʀokkoliː/
bromee	/bʀomeː/
bromelin	/bʀomelin/
bronchite	/bʀɑ̃ːʃit/
bronchitten	/bʀɑ̃ːʃitən/
brong	/bʀoŋ/
bronkeg	/bʀoŋkəɕ/
bronze	/bʀontsə/
bronzemedail	/bʀɑ̃ːsemədɑɪl/
bronzemedailen	/bʀɑ̃ːsemədɑɪjən/
bronzen	/bʀontsən/
broochland	/bʀoːχlɑnt/
broochleien	/bʀoːχlɑɪən/
broochgeleeën	/bʀoːχgəleːən/
brosch	/bʀoʃ/
broschen	/bʀoʃən/
broschett	/bʀoʃæt/
broschetten	/bʀoʃætən/
broscht	/bʀoʃt/
brëscht	/bʀəʃt/
broschtkriibs	/bʀoʃtkʀiːps/
broschür	/bʀoʃyʀ/
broschüren	/bʀoʃyʀən/
bross	/bʀos/
brossen	/bʀosən/
brosse	/bʀosə/
brot	/bʀoːt/
broten	/bʀoːtən/
brouderbur	/bʀəʊdɐbuːʀ/
brout	/bʀəʊt/
broutdeeg	/bʀəʊtdeːɕ/
broutgrimmel	/bʀəʊtgʀiməl/
broutgrimmelen	/bʀəʊtgʀimələn/
broutmesser	/bʀəʊtmæsɐ/
broutmesseren	/bʀəʊtmæsəʀən/
broutschéiss	/bʀəʊtʃɜɪs/
broutschéissen	/bʀəʊtʃɜɪsən/
browser	/bʀoːzɐ/
browseren	/bʀoːzəʀən/
browserfënster	/bʀoːɐfənstɐ/
browserfënsteren	/bʀoːɐfənstəʀən/
bruch	/bʀuχ/
bruchbud	/bʀuχbuːt/
bruchbuden	/bʀuχbuːdən/
bruck	/bʀuk/
brucken	/bʀukən/
gebruckt	/gəbʀukt/
brudder	/bʀudɐ/
bridder	/bʀidɐ/
bruechtebaach	/bʀuəɕtəbaːχ/
brueden	/bʀuədən/
gebruet	/gəbʀuət/
brulli	/bʀuli/
brunei	/bʀunɑɪ/
bruneier	/bʀunɑɪɐ/
bruneierin	/bʀunɑɪəʀin/
bruneierinnen	/bʀunɑɪəʀinən/
bruneiesch	/bʀunɑɪəʃ/
brüsk	/bʀysk/
brüskéieren	/bʀyskɜɪəʀən/
brüskéiert	/bʀyskɜɪɐt/
brusque	/bʀusk/
brutal	/bʀutaːl/
brutaliséieren	/bʀutaːlizɜɪəʀən/
brutaliséiert	/bʀutaːlizɜɪɐt/
brutalitéit	/bʀutaːlitɜɪt/
brutalitéiten	/bʀutaːlitɜɪtən/
brute	/bʀut/
brutten	/bʀutən/
brutschelen	/bʀutʃələn/
gebrutschelt	/gəbʀutʃəlt/
brutschen	/bʀutʃən/
gebrutscht	/gəbʀutʃt/
bruttoinlandprodukt	/bʀutwɛ̃ːlɑntpʀodukt/
brutzelen	/bʀutsələn/
gebrutzelt	/gəbʀutsəlt/
buch	/buχ/
bicher	/biɕɐ/
bûche	/buːɕə/
bûchen	/buːɕən/
buchen	/buχən/
gebucht	/gəbuχt/
buckels	/bukəls/
bucki	/bukiː/
buckien	/bukiən/
bud	/buːt/
buden	/buːdən/
buddelen	/budələn/
gebuddelt	/gəbudəlt/
buddeler	/budəlɐ/
buddelerbaach	/budəlɐbaːχ/
buddhismus	/bythismus/
budget	/bydʒeː/
budgeten	/bydʒeːən/
budgetsminister	/bydʒeːministɐ/
budgetsministeren	/bydʒeːministəʀən/
budgetsministerin	/bydʒeːministəʀin/
budgetsministerinnen	/bydʒeːministəʀinən/
budgetsministesch	/bydʒeːministəʃ/
budgetsministeschen	/bydʒeːministəʃən/
budgetsprojet	/bydʒeːspʀoʒeː/
budgetsprojeten	/bydʒeːspʀoʒeːən/
buedbidden	/buətbidən/
buedduch	/buətduχ/
bueddicher	/buətdiɕɐ/
buedem	/buədəm/
biedem	/biədəm/
buedembelag	/buədəmbəlaːχ/
buedembeleeg	/buədəmbəleːɕ/
buedemprouf	/buədəmpʀəʊf/
buedemprouwen	/buədəmpʀəʊvən/
buedemschicht	/buədəmʃiɕt/
buedemschichten	/buədəmʃiɕtən/
bueden	/buədən/
gebuet	/gəbuət/
buedmantel	/buətmɑntəl/
buedmäntel	/buətmæntəl/
buedzëmmer	/buəttsəmɐ/
buedzëmmerdier	/buəttsəmɐdiːɐ/
buedzëmmerdieren	/buəttsəmɐdiːɐʀən/
buer	/buːɐ/
buerer	/buəʀɐ/
buerbes	/buːɐbəs/
bueren	/buəʀən/
gebuert	/gəbuːɐt/
buerermillen	/buəʀɐmilən/
buerféiss	/buːɐfɜɪs/
buerg	/buːɐɕ/
buergen	/buːɐʑən/
buergbrennen	/buəʑbʀænən/
buergermeeschter	/buːɐʑɐmeːʃtɐ/
buergermeeschteren	/buːɐʑɐmeːʃtəʀən/
buergermeeschterin	/buːɐʑɐmeːʃtəʀin/
buergermeeschterinnen	/buːɐʑɐmeːʃtəʀinən/
buergermeeschtesch	/buːɐʑɐmeːʃtəʃ/
buergermeeschteschen	/buːɐʑɐmeːʃtəʃən/
buerglënster	/buːɐglənstɐ/
buergmauer	/buəʑmɑʊɐ/
buergmaueren	/buəʑmɑʊəʀən/
buermaschinn	/buːɐmɑʃin/
buermaschinnen	/buːɐmɑʃinən/
